name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
Ken Zampese,2011,Bengals,Position,Quarterbacks Coach,5,,,,,
James Urban,2011,Bengals,Position,Wide Receivers Coach,5,,,,,
Paul Alexander,2011,Bengals,Position,Offensive Line Coach,5,,,1,,
Jim Anderson,2011,Bengals,Position,Running Backs Coach,5,,,,,
Jonathan Hayes,2011,Bengals,Position,Tight Ends Coach,5,,,,,
Kyle Caskey,2011,Bengals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Jay Hayes,2011,Bengals,Position,Defensive Line Coach,5,,,,,
Jeff FitzGerald,2011,Bengals,Position,Linebackers Coach,5,,,,,
Kevin Koyle,2011,Bengals,Position,Defensive Backs Coach,5,,,,,
David Lippincott,2011,Bengals,Quality Control,Defejsive Quality Control Coach,2.5,,,,,
Marvin Lewis,2012,Bengals,Head Coach,Head Coach,10,,,,,
Jay Gruden,2012,Bengals,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Zimmer,2012,Bengals,Coordinator,Defensive Coordinator,7.5,,,,,
Ken Zampese,2012,Bengals,Position,Quarterbacks Coach,5,,,,,
James Urban,2012,Bengals,Position,Wide Receivers Coach,5,,,,,
Paul Alexander,2012,Bengals,Position,Offensive Line Coach,5,,,1,,
Jim Anderson,2012,Bengals,Position,Running Backs Coach,5,,,,,
Jonathan Hayes,2012,Bengals,Position,Tight Ends Coach,5,,,,,
Kyle Caskey,2012,Bengals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Jay Hayes,2012,Bengals,Position,Defensive Line Coach,5,,,,,
Paul Guenther,2012,Bengals,Position,Linebackers Coach,5,,,,,
Mark Carrier,2012,Bengals,Position,Defensive Backs Coach,5,,,,,
David Lippincott,2012,Bengals,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Marvin Lewis,2013,Bengals,Head Coach,Head Coach,10,,,,,
Jay Gruden,2013,Bengals,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Zimmer,2013,Bengals,Coordinator,Defensive Coordinator,7.5,,,,,
Darrin Simmons,2013,Bengals,Coordinator,Special Teams Coordinator,7.5,,,,,
Ken Zampese,2013,Bengals,Position,Quarterbacks Coach,5,,,,,
James Urban,2013,Bengals,Position,Wide Receivers Coach,5,,,,,
Paul Alexander,2013,Bengals,Position,Offensive Line Coach,5,,,1,,
Hue Jackson,2013,Bengals,Position,Running Backs Coach,5,,,,,
Jonathan Hayes,2013,Bengals,Position,Tight Ends Coach,5,,,,,
Jay Hayes,2013,Bengals,Position,Defensive Line Coach,5,,,,,
Paul Guenther,2013,Bengals,Position,Linebackers Coach,5,,,,,
Mark Carrier,2013,Bengals,Position,Defensive Backs Coach,5,,,,,
David Lippincott,2013,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Kyle Caskey,2013,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Brayden Coombs,2013,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Marvin Lewis,2014,Bengals,Head Coach,Head Coach,10,,,,,
Hue Jackson,2014,Bengals,Coordinator,Offensive Coordinator,7.5,,,,,
Paul Guenther,2014,Bengals,Coordinator,Defensive Coordinator,7.5,,,,,
Darrin Simmons,2014,Bengals,Coordinator,Special Teams Coordinator,7.5,,,,,
Ken Zampese,2014,Bengals,Position,Quarterbacks Coach,5,,,,,
James Urban,2014,Bengals,Position,Wide Receivers Coach,5,,,,,
Paul Alexander,2014,Bengals,Position,Offensive Line Coach,5,,,1,,
Kyle Caskey,2014,Bengals,Position,Running Backs Coach,5,,,,,
Jonathan Hayes,2014,Bengals,Position,Tight Ends Coach,5,,,,,
Jay Hayes,2014,Bengals,Position,Defensive Line Coach,5,,,,,
Matt Burke,2014,Bengals,Position,Linebackers Coach,5,,,,,
Mark Carrier,2014,Bengals,Position,Defensive Backs Coach,5,,,,,
Vance Joseph,2014,Bengals,Position,Defensive Backs Coach,5,,,,,
David Lippincott,2014,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Marcus Lewis,2014,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Brayden Coombs,2014,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Brian Braswell,2014,Bengals,Quality Control,Quality Control Coach,2.5,,,,,
Lovie Smith,2010,Bears,Head Coach,Head Coach,10,,,,,
Mike Martz,2010,Bears,Coordinator,Offensive Coordinator,7.5,,,,,
Rod Marinelli,2010,Bears,Coordinator,Defensive Coordinator,7.5,,,1,,
Shane Day,2010,Bears,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2010,Bears,Position,Wide Receivers Coach,5,,,,,
Mike Trice,2010,Bears,Position,Offensive Line Coach,5,,,,,
Tim Spencer,2010,Bears,Position,Running Backs Coach,5,,,,,
Mike DeBord,2010,Bears,Position,Tight Ends Coach,5,,,,,
Eric Washington,2010,Bears,Position,Defensive Line Coach,5,,,,,
Bob Babich,2010,Bears,Position,Linebackers Coach,5,,,,,
Gill Byrd,2010,Bears,Position,Safeties Coach,5,,,,,
Jon Hoke,2010,Bears,Position,Defensive Backs Coach,5,,,,,
Mikal Smith,2010,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Lovie Smith,2011,Bears,Head Coach,Head Coach,10,,,,,
Mike Martz,2011,Bears,Coordinator,Offensive Coordinator,7.5,,,,,
Rod Marinelli,2011,Bears,Coordinator,Defensive Coordinator,7.5,,,1,,
Shane Day,2011,Bears,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2011,Bears,Position,Wide Receivers Coach,5,,,,,
Mike Tice,2011,Bears,Position,Offensive Line Coach,5,,,,,
Tim Spencer,2011,Bears,Position,Running Backs Coach,5,,,,,
Mike DeBord,2011,Bears,Position,Tight Ends Coach,5,,,,,
Andrew Hayes-Stoker,2011,Bears,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Mike Phair,2011,Bears,Position,Defensive Line Coach,5,,,,,
Bob Babich,2011,Bears,Position,Linebackers Coach,5,,,,,
Gill Byrd,2011,Bears,Position,Safeties Coach,5,,,,,
Jon Hoke,2011,Bears,Position,Defensive Backs Coach,5,,,,,
Mikal Smith,2011,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Lovie Smith,2012,Bears,Head Coach,Head Coach,10,,,,,
Mike Tice,2012,Bears,Coordinator,Offensive Coordinator,7.5,,,,,
Rod Marinelli,2012,Bears,Coordinator,Defensive Coordinator,7.5,,,1,,
Jeremy Bates,2012,Bears,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2012,Bears,Position,Wide Receivers Coach,5,,,,,
Tim Holt,2012,Bears,Position,Offensive Line Coach,5,,,,,
Tim Spencer,2012,Bears,Position,Running Backs Coach,5,,,,,
Mike DeBord,2012,Bears,Position,Tight Ends Coach,5,,,,,
Mike Phair,2012,Bears,Position,Defensive Line Coach,5,,,,,
Bob Babich,2012,Bears,Position,Linebackers Coach,5,,,,,
Gill Byrd,2012,Bears,Position,Safeties Coach,5,,,,,
Jon Hoke,2012,Bears,Position,Defensive Backs Coach,5,,,,,
Mikal Smith,2012,Bears,Position,Nickelbacks Coach,5,,,,,
Marc Trestman,2013,Bears,Head Coach,Head Coach,10,,,,,
Aaron Kromer,2013,Bears,Coordinator,Offensive Coordinator,7.5,,,,,
Mel Tucker,2013,Bears,Coordinator,Defensive Coordinator,7.5,,,,,
Joe DeCamillis,2013,Bears,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Cavanaugh,2013,Bears,Position,Quarterbacks Coach,5,,,,,
Mike Groh,2013,Bears,Position,Wide Receivers Coach,5,,,,,
Skip Peete,2013,Bears,Position,Running Backs Coach,5,,,,,
Andy Bischoff,2013,Bears,Position,Tight Ends Coach,5,,,,,
Brendan Nugent,2013,Bears,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Carson Walch,2013,Bears,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Mike Phair,2013,Bears,Position,Defensive Line Coach,5,,,,,
Tim Tibesar,2013,Bears,Position,Linebackers Coach,5,,,,,
Jon Hoke,2013,Bears,Position,Defensive Backs Coach,5,,,,,
Chris Harris,2013,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Sean Desai,2013,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Marc Trestman,2014,Bears,Head Coach,Head Coach,10,,,,,
Aaron Kromer,2014,Bears,Coordinator,Offensive Coordinator,7.5,,,,,
Mel Tucker,2014,Bears,Coordinator,Defensive Coordinator,7.5,,,,,
Joe DeCamillis,2014,Bears,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Cavanaugh,2014,Bears,Position,Quarterbacks Coach,5,,,,,
Mike Groh,2014,Bears,Position,Wide Receivers Coach,5,,,,,
Pat Meyer,2014,Bears,Position,Offensive Line Coach,5,,,,,
Skip Peete,2014,Bears,Position,Running Backs Coach,5,,,,,
Andy Bischoff,2014,Bears,Position,Tight Ends Coach,5,,,,,
Brendan Nugent,2014,Bears,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Carson Walch,2014,Bears,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Paul Pasqualoni,2014,Bears,Position,Defensive Line Coach,5,,,,,
Reggie Herring,2014,Bears,Position,Linebackers Coach,5,,,,,
Jon Hoke,2014,Bears,Position,Defensive Backs Coach,5,,,,,
Chris Harris,2014,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Sean Desai,2014,Bears,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Eric Mangini,2010,Browns,Head Coach,Head Coach,10,,,,,
Brian Daboll,2010,Browns,Coordinator,Offensive Coordinator,7.5,,,,,
Rob Ryan,2010,Browns,Coordinator,Defensive Coordinator,7.5,,,,,
Brad Seely,2010,Browns,Coordinator,Special Teams Coordinator,7.5,,,,,
Carl Smith,2010,Browns,Position,Quarterbacks Coach,5,,,,,
George McDonald,2010,Browns,Position,Wide Receivers Coach,5,,,,,
George Warhop,2010,Browns,Position,Offensive Line Coach,5,,,,,
Gary Brown,2010,Browns,Position,Running Backs Coach,5,,,,,
Steve Hagen,2010,Browns,Position,Tight Ends Coach,5,,,,,
Bryan Cox,2010,Browns,Position,Defensive Line Coach,5,,,,,
Matt Eberflus,2010,Browns,Position,Linebackers Coach,5,,,,,
Jerome Henderson,2010,Browns,Position,Defensive Backs Coach,5,,,,,
Pat Shurmur,2011,Browns,Head Coach,Head Coach,10,,,,,
Dick Jauron,2011,Browns,Coordinator,Defensive Coordinator,7.5,,,,,
Chris Tabor,2011,Browns,Coordinator,Special Teams Coordinator,7.5,,,,,
Mark Whipple,2011,Browns,Position,Quarterbacks Coach,5,,,,,
Mike Wilson,2011,Browns,Position,Wide Receivers Coach,5,,,,,
George Warhop,2011,Browns,Position,Offensive Line Coach,5,,,,,
Gary Brown,2011,Browns,Position,Running Backs Coach,5,,,,,
Steve Hagen,2011,Browns,Position,Tight Ends Coach,5,,,,,
Dwaine Board,2011,Browns,Position,Defensive Line Coach,5,,,,,
Bill Davis,2011,Browns,Position,Linebackers Coach,5,,,,,
Jerome Henderson,2011,Browns,Position,Defensive Backs Coach,5,,,,,
Pat Shurmur,2012,Browns,Head Coach,Head Coach,10,,,,,
Brad Childress,2012,Browns,Coordinator,Offensive Coordinator,7.5,,,,,
Dick Jauron,2012,Browns,Coordinator,Defensive Coordinator,7.5,,,,,
Chris Tabor,2012,Browns,Coordinator,Special Teams Coordinator,7.5,,,,,
Mark Whipple,2012,Browns,Position,Quarterbacks Coach,5,,,,,
Mike Wilson,2012,Browns,Position,Wide Receivers Coach,5,,,,,
George Warhop,2012,Browns,Position,Offensive Line Coach,5,,,,,
Gary Brown,2012,Browns,Position,Running Backs Coach,5,,,,,
Steve Hagen,2012,Browns,Position,Tight Ends Coach,5,,,,,
Kent Johnston,2012,Browns,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Dwaine Board,2012,Browns,Position,Defensive Line Coach,5,,,,,
Bill Davis,2012,Browns,Position,Linebackers Coach,5,,,,,
Tim Hauck,2012,Browns,Position,Defensive Backs Coach,5,,,,,
Rob Chudzinski,2013,Browns,Head Coach,Head Coach,10,,,,,
Norv Turner,2013,Browns,Coordinator,Offensive Coordinator,7.5,,,,,
Ray Horton,2013,Browns,Coordinator,Defensive Coordinator,7.5,,,,,
Chris Tabor,2013,Browns,Coordinator,Special Teams Coordinator,7.5,,,,,
Scott Turner,2013,Browns,Position,Wide Receivers Coach,5,,,,,
George Warhop,2013,Browns,Position,Offensive Line Coach,5,,,,,
Mike Sullivan,2013,Browns,Position,Offensive Line Coach,5,,,,,
John Settle,2013,Browns,Position,Running Backs Coach,5,,,,,
Jon Embree,2013,Browns,Position,Tight Ends Coach,5,,,,,
Joe Cullen,2013,Browns,Position,Defensive Line Coach,5,,,,,
Brian Baker,2013,Browns,Position,Outside Linebackers Coach,5,,,,,
Ken Flajole,2013,Browns,Position,Inside Linebackers Coach,5,,,,,
Louie Cioffi,2013,Browns,Position,Defensive Backs Coach,5,,,,,
Mike Pettine,2014,Browns,Head Coach,Head Coach,10,,,,,
Kyle Shanahan,2014,Browns,Coordinator,Offensive Coordinator,7.5,,,,,
Jim O'Neil,2014,Browns,Coordinator,Defensive Coordinator,7.5,,,,,
Chris Tabor,2014,Browns,Coordinator,Special Teams Coordinator,7.5,,,,,
Dowell Loggains,2014,Browns,Position,Quarterbacks Coach,5,,,,,
Mike McDaniel,2014,Browns,Position,Wide Receivers Coach,5,,,,,
Andy Moeller,2014,Browns,Position,Offensive Line Coach,5,,,,,
Wilbert Montgomery,2014,Browns,Position,Running Backs Coach,5,,,,,
Brian Angelichio,2014,Browns,Position,Tight Ends Coach,5,,,,,
Richard Hightower,2014,Browns,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Anthony Weaver,2014,Browns,Position,Defensive Line Coach,5,,,,,
Chuck Driesbach,2014,Browns,Position,Linebackers Coach,5,,,,,
Jeff Hafley,2014,Browns,Position,Secondary Coach,5,,,,,
Brian Fleury,2014,Browns,Position,Linebackers Coach,5,,,,,
Aaron Glenn,2014,Browns,Position,Defensive Backs Coach,5,,,,,
Bobby Babich,2014,Browns,Position,Defensive Backs Coach,5,,,,,
Tony Tuioti,2014,Browns,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Wade Phillips,2010,Cowboys,Head Coach,Head Coach,10,1,,,,
Jason Garrett,2010,Cowboys,Coordinator,Offensive Coordinator,7.5,,1,1,1,
Joe DeCamillis,2010,Cowboys,Coordinator,Special Teams Coordinator,7.5,,,,,
Wade Wilson,2010,Cowboys,Position,Quarterbacks Coach,5,,,,,
Ray Sherman,2010,Cowboys,Position,Wide Receivers Coach,5,,,,,
Hudson Houck,2010,Cowboys,Position,Offensive Line Coach,5,,,,,
Skip Peete,2010,Cowboys,Position,Running Backs Coach,5,,,,,
John Garrett,2010,Cowboys,Position,Tight Ends Coach,5,,,,,
Keith O'Quinn,2010,Cowboys,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Paul Pasqualoni,2010,Cowboys,Position,Defensive Line Coach,5,,1,,,1
Reggie Herring,2010,Cowboys,Position,Linebackers Coach,5,,,,,
Brett Maxie,2010,Cowboys,Position,Safeties Coach,5,,,,,
Dave Campo,2010,Cowboys,Position,Secondary Coach,5,,,,,
Bobby King,2010,Cowboys,Position,Linebackers Coach,5,,,,,
Wes Phillips,2010,Cowboys,Quality Control,Quality Control Coach,2.5,,,,,
Jason Garrett,2011,Cowboys,Head Coach,Head Coach,10,,,,,
Rob Ryan,2011,Cowboys,Coordinator,Defensive Coordinator,7.5,,,,,
Joe DeCamillis,2011,Cowboys,Coordinator,Special Teams Coordinator,7.5,,,,,
Hudson Houck,2011,Cowboys,Coordinator,Offensive Run Game Coordinator,7.5,,,,,
John Garrett,2011,Cowboys,Coordinator,Offensive Pass Game Coordinator,7.5,,,,,
Wade Wilson,2011,Cowboys,Position,Quarterbacks Coach,5,,,,,
Keith O'Quinn,2011,Cowboys,Position,Wide Receivers Coach,5,,,,,
Jimmy Robinson,2011,Cowboys,Position,Wide Receivers Coach,5,,,1,,
Skip Peete,2011,Cowboys,Position,Running Backs Coach,5,,,,,
Wes Phillips,2011,Cowboys,Position,Offensive Line Coach,5,,,,,
Brian Baker,2011,Cowboys,Position,Defensive Line Coach,5,,,,,
Leon Lett,2011,Cowboys,Position,Defensive Line Coach,5,,,,,
Matt Eberflus,2011,Cowboys,Position,Linebackers Coach,5,,,,,
Dave Campo,2011,Cowboys,Position,Secondary Coach,5,,,,,
Brett Maxie,2011,Cowboys,Position,Secondary Coach,5,,,,,
Ben Bloom,2011,Cowboys,Position,Linebackers Coach,5,,,,,
Jason Garrett,2012,Cowboys,Head Coach,Head Coach,10,,,,,
Bill Callahan,2012,Cowboys,Coordinator,Offensive Coordinator,7.5,,,,,
Rob Ryan,2012,Cowboys,Coordinator,Defensive Coordinator,7.5,,,,,
Joe DeCamillis,2012,Cowboys,Coordinator,Special Teams Coordinator,7.5,,,,,
John Garrett,2012,Cowboys,Position,Offensive Pass Game Coordinator,5,,,,,
Wade Wilson,2012,Cowboys,Position,Quarterbacks Coach,5,,,,,
Jimmy Robinson,2012,Cowboys,Position,Wide Receivers Coach,5,,,1,,
Skip Peete,2012,Cowboys,Position,Running Backs Coach,5,,,,,
Wes Phillips,2012,Cowboys,Position,Offensive Line Coach,5,,,,,
Keith O'Quinn,2012,Cowboys,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Brian Baker,2012,Cowboys,Position,Defensive Line Coach,5,,,,,
Leon Lett,2012,Cowboys,Position,Defensive Line Coach,5,,,,,
Matt Eberflus,2012,Cowboys,Position,Linebackers Coach,5,,,,,
Ben Bloom,2012,Cowboys,Position,Linebackers Coach,5,,,,,
Jerome Henderson,2012,Cowboys,Position,Secondary Coach,5,,,,,
Jason Garrett,2013,Cowboys,Head Coach,Head Coach,10,,,,,
Bill Callahan,2013,Cowboys,Coordinator,Offensive Coordinator,7.5,,,,,
Monte Kiffin,2013,Cowboys,Coordinator,Assistant Head Coach,7.5,,,1,,
Richard Bisaccia,2013,Cowboys,Coordinator,Special Teams Coordinator,7.5,,,,,
Wade Wilson,2013,Cowboys,Position,Quarterbacks Coach,5,,,,,
Derek Dooley,2013,Cowboys,Position,Wide Receivers Coach,5,,,,,
Gary Brown,2013,Cowboys,Position,Running Backs Coach,5,,,,,
Wes Phillips,2013,Cowboys,Position,Tight Ends Coach,5,,,,,
Frank Pollack,2013,Cowboys,Position,Offensive Line Coach,5,,,,,
Rod Marinelli,2013,Cowboys,Position,Defensive Line Coach,5,,,,,
Leon Lett,2013,Cowboys,Position,Defensive Line Coach,5,,,,,
Matt Eberflus,2013,Cowboys,Position,Linebackers Coach,5,,,,,
Ben Bloom,2013,Cowboys,Position,Linebackers Coach,5,,,,,
Jerome Henderson,2013,Cowboys,Position,Secondary Coach,5,,,,,
Mikal Smith,2013,Cowboys,Position,Nickelbacks Coach,5,,,,,
Jason Garrett,2014,Cowboys,Head Coach,Head Coach,10,,,,,
Monte Kiffin,2014,Cowboys,Coordinator,Assistant Head Coach-Defense,7.5,,,,,
Bill Callahan,2014,Cowboys,Coordinator,Offensive Coordinator,7.5,,,,,
Rod Marinelli,2014,Cowboys,Coordinator,Defensive Coordinator,7.5,,,,,
Richard Bisaccia,2014,Cowboys,Coordinator,Special Teams Coordinator,7.5,,,,,
Scott Linehan,2014,Cowboys,Position,Offensive Pass Game Coordinator,5,,,,,
Wade Wilson,2014,Cowboys,Position,Quarterbacks Coach,5,,,,,
Derek Dooley,2014,Cowboys,Position,Wide Receivers Coach,5,,,,,
Gary Brown,2014,Cowboys,Position,Running Backs Coach,5,,,,,
Mike Pope,2014,Cowboys,Position,Tight Ends Coach,5,,,,,
Frank Pollack,2014,Cowboys,Position,Offensive Line Coach,5,,,,,
Ben Bloom,2014,Cowboys,Position,Defensive Ends Coach,5,,,,,
Leon Lett,2014,Cowboys,Position,Defensive Tackles Coach,5,,,,,
Matt Eberflus,2014,Cowboys,Position,Linebackers Coach,5,,,,,
Jerome Henderson,2014,Cowboys,Position,Secondary Coach,5,,,,,
Josh McDaniels,2010,Broncos,Head Coach,Head Coach,10,1,,,,
Mike McCoy,2010,Broncos,Coordinator,Offensive Coordinator,7.5,,,,,
Don Martindale,2010,Broncos,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Priefer,2010,Broncos,Coordinator,Special Teams Coordinator,7.5,,,,,
Ben McDaniels,2010,Broncos,Position,Quarterbacks Coach,5,,,,,
Adam Gase,2010,Broncos,Position,Wide Receivers Coach,5,,,,,
Clancy Barone,2010,Broncos,Position,Offensive Line Coach,5,,,,,
Eric Studesville,2010,Broncos,Position,Running Backs Coach,5,,1,,1,
Bob Ligashesky,2010,Broncos,Position,Tight Ends Coach,5,,,,,
Wayne Nunnely,2010,Broncos,Position,Defensive Line Coach,5,,,,,
Ed Donatell,2010,Broncos,Position,Secondary Coach,5,,,,,
John Fox,2011,Broncos,Head Coach,Head Coach,10,,,,,
Mike McCoy,2011,Broncos,Coordinator,Offensive Coordinator,7.5,,,,,
Dennis Allen,2011,Broncos,Coordinator,Defensive Coordinator,7.5,,,,,
Jeff Rodgers,2011,Broncos,Coordinator,Special Teams Coordinator,7.5,,,,,
Adam Gase,2011,Broncos,Position,Quarterbacks Coach,5,,,,,
Tyke Tolbert,2011,Broncos,Position,Wide Receivers Coach,5,,,,,
Dave Magazu,2011,Broncos,Position,Offensive Line Coach,5,,,,,
Eric Studesville,2011,Broncos,Position,Running Backs Coach,5,,,,,
Clancy Barone,2011,Broncos,Position,Tight Ends Coach,5,,,,,
Wayne Nunnely,2011,Broncos,Position,Defensive Line Coach,5,,,,,
Richard Smith,2011,Broncos,Position,Linebackers Coach,5,,,,,
Ron Milus,2011,Broncos,Position,Defensive Backs Coach,5,,,,,
Jay Rodgers,2011,Broncos,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Fox,2012,Broncos,Head Coach,Head Coach,10,,,,,
Mike McCoy,2012,Broncos,Coordinator,Offensive Coordinator,7.5,,,,,
Jack Del Rio,2012,Broncos,Coordinator,Defensive Coordinator,7.5,,,,,
Jeff Rodgers,2012,Broncos,Coordinator,Special Teams Coordinator,7.5,,,,,
Adam Gase,2012,Broncos,Position,Quarterbacks Coach,5,,,,,
Tyke Tolbert,2012,Broncos,Position,Wide Receivers Coach,5,,,,,
Dave Magazu,2012,Broncos,Position,Offensive Line Coach,5,,,,,
Eric Studesville,2012,Broncos,Position,Running Backs Coach,5,,,,,
Ron Milus,2012,Broncos,Position,Tight Ends Coach,5,,,,,
Jay Rodgers,2012,Broncos,Position,Defensive Line Coach,5,,,,,
Richard Smith,2012,Broncos,Position,Linebackers Coach,5,,,,,
Cory Undlin,2012,Broncos,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Fox,2013,Broncos,Head Coach,Head Coach,10,,,,,
Adam Gase,2013,Broncos,Coordinator,Offensive Coordinator,7.5,,,,,
Jack Del Rio,2013,Broncos,Coordinator,Defensive Coordinator,7.5,,,,,
Jeff Rodgers,2013,Broncos,Coordinator,Special Teams Coordinator,7.5,,,,,
Greg Knapp,2013,Broncos,Position,Quarterbacks Coach,5,,,,,
Tyke Tolbert,2013,Broncos,Position,Wide Receivers Coach,5,,,,,
Dave Magazu,2013,Broncos,Position,Offensive Line Coach,5,,,,,
Eric Studesville,2013,Broncos,Position,Running Backs Coach,5,,,,,
Clancy Barone,2013,Broncos,Position,Tight Ends Coach,5,,,,,
Jay Rodgers,2013,Broncos,Position,Defensive Line Coach,5,,,,,
Richard Smith,2013,Broncos,Position,Linebackers Coach,5,,,,,
Cory Undlin,2013,Broncos,Position,Defensive Backs Coach,5,,,,,
Chris Beake,2013,Broncos,Quality Control,Defensive Quality Control Coach,2.5,,,,,
John Fox,2014,Broncos,Head Coach,Head Coach,10,,,,,
Adam Gase,2014,Broncos,Coordinator,Offensive Coordinator,7.5,,,,,
